頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 96 ,TW0006035009,6035,悠遊卡,興櫃 ,股票,金融保險業,2023/01/03,ESVUFR,
 97 ,TW0006272008,6272,驊陞,興櫃 ,股票,電子零組件業,2002/12/24,ESVUFR,
 98 ,TW0006403009,6403,群登,興櫃 ,股票,通信網路業,2012/10/26,ESVUFR,
 99 ,TW0006407000,6407,相互,興櫃 ,股票,電子零組件業,2013/03/29,ESVUFR,
 100 ,TW0006428006,6428,淘米,興櫃 ,股票,文化創意業,2013/09/11,ESVUFR,
 101 ,TW0006434004,6434,達輝光電,興櫃 ,股票,光電業,2013/11/12,ESVUFR,
 102 ,TW0006473002,6473,美賣*,興櫃 ,股票,數位雲端,2014/12/08,ESVUFR,
 103 ,TW0006474000,6474,華豫寧,興櫃 ,股票,電子通路業,2018/02/01,ESVUFR,
 104 ,TW0006483001,6483,原創生醫,興櫃 ,股票,生技醫療業,2024/03/29,ESVUFR,
 105 ,TW0006493000,6493,雷虎生,興櫃 ,股票,生技醫療業,2015/01/08,ESVUFR,
 106 ,KYG6392C1096,6495,納諾*-KY,興櫃 ,股票,化學工業,2016/08/15,ESVUFR,
 107 ,TW0006498009,6498,久禾光,興櫃 ,股票,光電業,2015/01/27,ESVUFR,
 108 ,TW0006518004,6518,康科特,興櫃 ,股票,生技醫療業,2015/05/13,ESVUFR,
 109 ,TW0006536006,6536,碩豐,興櫃 ,股票,資訊服務業,2015/06/18,ESVUFR,
 110 ,TW0006539000,6539,麗彤,興櫃 ,股票,生技醫療業,2015/10/15,ESVUFR,
 111 ,TW0006543002,6543,普惠醫工,興櫃 ,股票,生技醫療業,2019/03/27,ESVUFR,
 112 ,TW0006549009,6549,景凱,興櫃 ,股票,生技醫療業,2015/10/21,ESVUFR,
 113 ,TW0006555006,6555,榮炭,興櫃 ,股票,電子零組件業,2016/01/25,ESVUFR,
 114 ,TW0006559008,6559,研晶,興櫃 ,股票,光電業,2015/12/15,ESVUFR,
 115 ,TW0006564008,6564,安特羅,興櫃 ,股票,生技醫療業,2018/09/18,ESVUFR,
 116 ,TW0006565005,6565,物聯,興櫃 ,股票,數位雲端,2017/01/18,ESVUFR,
 117 ,TW0006572001,6572,博錸,興櫃 ,股票,生技醫療業,2016/02/26,ESVUFR,
 118 ,TW0006580004,6580,台睿,興櫃 ,股票,生技醫療業,2017/06/20,ESVUFR,
 119 ,TW0006583008,6583,友松,興櫃 ,股票,文化創意業,2016/08/05,ESVUFR,
 120 ,TW0006586001,6586,醣基,興櫃 ,股票,生技醫療業,2017/09/27,ESVUFR,
 121 ,TW0006595002,6595,光禹國際,興櫃 ,股票,文化創意業,2019/01/11,ESVUFR,
 122 ,TW0006597008,6597,立誠,興櫃 ,股票,電子零組件業,2018/01/04,ESVUFR,
 123 ,TW0006599004,6599,普達系統,興櫃 ,股票,電腦及週邊設備業,2017/12/25,ESVUFR,
 124 ,TW0006610009,6610,安成生技,興櫃 ,股票,生技醫療業,2016/12/27,ESVUFR,
 125 ,TW0006618002,6618,永虹先進,興櫃 ,股票,化學工業,2017/09/15,ESVUFR,
 126 ,TW0006620008,6620,漢達,興櫃 ,股票,生技醫療業,2016/12/28,ESVUFR,
 127 ,TW0006621006,6621,華宇藥,興櫃 ,股票,生技醫療業,2017/08/18,ESVUFR,
 128 ,TW0006622004,6622,百聿數碼,興櫃 ,股票,文化創意業,2017/05/22,ESVUFR,
 129 ,TW0006626005,6626,唯數,興櫃 ,股票,文化創意業,2017/04/07,ESVUFR,
 130 ,TW0006634009,6634,欣耀,興櫃 ,股票,生技醫療業,2017/06/29,ESVUFR,
 131 ,TW0006638000,6638,沅聖,興櫃 ,股票,電腦及週邊設備業,2017/06/28,ESVUFR,
 132 ,TW0006639008,6639,源大環能,興櫃 ,股票,油電燃氣業,2018/10/31,ESVUFR,
 133 ,TW0006648009,6648,斯其大,興櫃 ,股票,其他電子業,2017/09/04,ESVUFR,
 134 ,TW0006650005,6650,帝圖,興櫃 ,股票,文化創意業,2017/09/15,ESVUFR,
 135 ,TW0006652001,6652,雅祥生醫,興櫃 ,股票,生技醫療業,2018/08/29,ESVUFR,
 136 ,TW0006665003,6665,康聯生醫,興櫃 ,股票,生技醫療業,2017/11/23,ESVUFR,
 137 ,TW0006673007,6673,和詮,興櫃 ,股票,光電業,2018/03/07,ESVUFR,
 138 ,TW0006676000,6676,祥翊,興櫃 ,股票,生技醫療業,2022/01/19,ESVUFR,
 139 ,TW0006677008,6677,瑩碩生技,興櫃 ,股票,生技醫療業,2018/06/27,ESVUFR,
 140 ,TW0006682008,6682,華旭矽材,興櫃 ,股票,光電業,2018/05/11,ESVUFR,
 141 ,TW0006696008,6696,仁新,興櫃 ,股票,生技醫療業,2018/10/08,ESVUFR,
 142 ,TW0006699002,6699,奇邑,興櫃 ,股票,半導體業,2019/10/14,ESVUFR,
 143 ,TW0006704000,6704,國璽幹細胞,興櫃 ,股票,生技醫療業,2023/04/26,ESVUFR,
 144 ,TW0006705007,6705,振躍精密,興櫃 ,股票,電機機械,2018/10/31,ESVUFR,
 145 ,TW0006707003,6707,富基電通,興櫃 ,股票,電子通路業,2022/07/21,ESVUFR,
 146 ,TW0006709009,6709,昱厚生技,興櫃 ,股票,生技醫療業,2018/11/29,ESVUFR,
 147 ,TW0006720006,6720,久昌,興櫃 ,股票,半導體業,2019/05/10,ESVUFR,
