頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 77 ,TW00000867B1,00867B,新光A-BBB電信債,上櫃 ,ETF,,2019/11/15,CEOIBU,
 78 ,TW00000870B5,00870B,元大15年EM主權債,上櫃 ,ETF,,2020/01/09,CEOJBU,
 79 ,TW0000087709,00877,復華中國5G,上櫃 ,ETF,,2020/07/22,CEOGEU,
 80 ,TW00000883B8,00883B,中信ESG投資級債,上櫃 ,ETF,,2021/02/04,CEOIBU,
 81 ,TW00000884B6,00884B,中信低碳新興債,上櫃 ,ETF,,2021/02/04,CEOIBU,
 82 ,TW0000088608,00886,永豐美國科技,上櫃 ,ETF,,2021/03/31,CEOGEU,
 83 ,TW0000088707,00887,永豐中國科技50大,上櫃 ,ETF,,2021/03/31,CEOGEU,
 84 ,TW0000088806,00888,永豐台灣ESG,上櫃 ,ETF,,2021/03/31,CEOIEU,
 85 ,TW00000890B3,00890B,凱基ESG BBB 債 15+,上櫃 ,ETF,,2021/05/10,CEOIBU,
 86 ,TW0000092808,00928,中信上櫃ESG 30,上櫃 ,ETF,,2023/05/24,CEOIEU,
 87 ,TW00000931B5,00931B,統一美債20年,上櫃 ,ETF,,2023/08/07,CEOIBU,
 88 ,TW00000933B1,00933B,國泰10Y+金融債,上櫃 ,ETF,,2023/10/19,CEOJBU,
 89 ,TW00000937B2,00937B,群益ESG投等債20+,上櫃 ,ETF,,2023/12/05,CEOIBU,
 90 ,TW00000942B2,00942B,台新美A公司債20+,上櫃 ,ETF,,2024/04/18,CEOIBU,
 91 ,TW00000948B9,00948B,中信優息投資級債,上櫃 ,ETF,,2024/06/12,CEOIBU,
 92 ,TW00001014S3,01014S,93中信貸a,上櫃 ,受益證券-資產基礎證券,,2004/08/10,DAVUBR,
 93 ,TW00001015S0,01015S,93中信貸b,上櫃 ,受益證券-資產基礎證券,,2004/08/10,DAVUBR,
